game_date,player_id,game_time,added_ts
2023-05-13,tuckle,0:44,2023-05-17 12:01:09
2023-05-13,croasus,0:45,2023-05-17 12:01:09
2023-05-13,matt,0:45,2023-05-17 12:01:09
2023-05-13,jeskaeli,0:54,2023-05-17 12:01:09
2023-05-13,kyle,0:56,2023-05-17 12:01:09
2023-05-13,aromatt,1:02,2023-05-17 12:01:09
2023-05-13,lando,1:23,2023-05-17 12:01:09
2023-05-13,evanat,2:34,2023-05-17 12:01:09
2023-05-13,mama56,2:47,2023-05-17 12:01:09
2023-05-13,mickey,3:46,2023-05-17 12:01:09
2023-05-13,mossy_turtleneck,4:51,2023-05-17 12:01:09
2023-05-14,andy,0:18,2023-05-17 12:01:09
2023-05-14,throoper,0:25,2023-05-17 12:01:09
2023-05-14,mbbananas,0:27,2023-05-17 12:01:09
2023-05-14,lando,0:31,2023-05-17 12:01:09
2023-05-14,jeskaeli,0:37,2023-05-17 12:01:09
2023-05-14,croasus,0:40,2023-05-17 12:01:09
2023-05-14,aromatt,0:41,2023-05-17 12:01:09
2023-05-14,acowinthecrowd,0:45,2023-05-17 12:01:09
2023-05-14,tuckle,0:45,2023-05-17 12:01:09
2023-05-14,mama56,0:46,2023-05-17 12:01:09
2023-05-14,matt,0:48,2023-05-17 12:01:09
2023-05-14,evanat,0:54,2023-05-17 12:01:09
2023-05-14,jim,1:15,2023-05-17 12:01:09
2023-05-15,mbbananas,0:13,2023-05-17 12:01:09
2023-05-15,matt,0:18,2023-05-17 12:01:09
2023-05-15,acowinthecrowd,0:20,2023-05-17 12:01:09
2023-05-15,throoper,0:20,2023-05-17 12:01:09
2023-05-15,andy,0:23,2023-05-17 12:01:09
2023-05-15,kyle,0:26,2023-05-17 12:01:09
2023-05-15,tuckle,0:26,2023-05-17 12:01:09
2023-05-15,aromatt,0:28,2023-05-17 12:01:09
2023-05-15,croasus,0:29,2023-05-17 12:01:09
2023-05-15,evanat,0:29,2023-05-17 12:01:09
2023-05-15,mossy_turtleneck,0:35,2023-05-17 12:01:09
2023-05-15,lando,0:36,2023-05-17 12:01:09
2023-05-15,jeskaeli,0:42,2023-05-17 12:01:09
2023-05-15,mickey,0:48,2023-05-17 12:01:09
2023-05-15,mama56,0:49,2023-05-17 12:01:09
2023-05-15,jim,1:06,2023-05-17 12:01:09
2023-05-16,acowinthecrowd,0:17,2023-05-17 12:01:09
2023-05-16,aromatt,0:21,2023-05-17 12:01:09
2023-05-16,mbbananas,0:21,2023-05-17 12:01:09
2023-05-16,andy,0:26,2023-05-17 12:01:09
2023-05-16,matt,0:27,2023-05-17 12:01:09
2023-05-16,jeskaeli,0:28,2023-05-17 12:01:09
2023-05-16,throoper,0:29,2023-05-17 12:01:09
2023-05-16,croasus,0:32,2023-05-17 12:01:09
2023-05-16,tuckle,0:33,2023-05-17 12:01:09
2023-05-16,kyle,0:53,2023-05-17 12:01:09
2023-05-16,mama56,0:58,2023-05-17 12:01:09
2023-05-16,mickey,1:14,2023-05-17 12:01:09
2023-05-16,evanat,1:15,2023-05-17 12:01:09
2023-05-16,lando,1:26,2023-05-17 12:01:09
2023-05-16,jim,1:51,2023-05-17 12:01:09
2023-05-17,mbbananas,0:16,2023-05-17 12:01:09
2023-05-17,kyle,0:19,2023-05-17 12:01:09
2023-05-17,acowinthecrowd,0:22,2023-05-17 12:01:09
2023-05-17,throoper,0:23,2023-05-17 12:01:09
2023-05-17,andy,0:32,2023-05-17 12:01:09
2023-05-17,mama56,0:35,2023-05-17 12:01:09
2023-05-17,jeskaeli,0:36,2023-05-17 12:01:09
2023-05-17,lando,0:41,2023-05-17 12:01:09
2023-05-17,mossy_turtleneck,0:42,2023-05-17 12:01:09
2023-05-17,aromatt,0:47,2023-05-17 12:01:09
2023-05-17,tuckle,1:05,2023-05-17 12:01:09
2023-05-17,mickey,1:14,2023-05-17 12:01:09
2023-05-17,evanat,1:20,2023-05-17 12:01:09
2023-05-17,jim,2:41,2023-05-17 12:01:09
